"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"Landelijk gebied-West";"Alkmaar                                 ";"Buurt     ";"BU03610409";"1";"      1817";2
"Huiswaard";"Alkmaar                                 ";"Wijk      ";"WK036105  ";"3";"         .";
"Huiswaard-1-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610500";"1";"      1824";1
"Muiderwaard";"Alkmaar                                 ";"Buurt     ";"BU03610501";"1";"      1824";1
"Huiswaard-2-West";"Alkmaar                                 ";"Buurt     ";"BU03610502";"1";"      1824";1
"Huiswaard-2-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610503";"1";"      1824";1
"De Mare";"Alkmaar                                 ";"Wijk      ";"WK036106  ";"1";"         .";
"'t Rak-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610600";"1";"      1825";1
"'t Rak-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610601";"1";"      1825";1
"De Horn-Noord";"Alkmaar                                 ";"Buurt     ";"BU03610602";"1";"      1826";1
"De Horn-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03610603";"1";"      1826";1
"De Mare";"Alkmaar                                 ";"Buurt     ";"BU03610604";"1";"      1825";1
"Daalmeer/Koedijk";"Alkmaar                                 ";"Wijk      ";"WK036107  ";"1";"         .";
"Daalmeer-Zuidoost";"Alkmaar                                 ";"Buurt     ";"BU03610700";"1";"      1827";1
"Daalmeer-Zuidwest";"Alkmaar                                 ";"Buurt     ";"BU03610701";"1";"      1827";1
"Koedijk en De Weijdt";"Alkmaar                                 ";"Buurt     ";"BU03610702";"1";"      1831";1
"Daalmeer-Noordwest";"Alkmaar                                 ";"Buurt     ";"BU03610703";"1";"      1827";1
"Daalmeer-Noordoost";"Alkmaar                                 ";"Buurt     ";"BU03610704";"1";"      1827";1
"Landelijk gebied Noord";"Alkmaar                                 ";"Buurt     ";"BU03610709";"1";"      1831";1
"Centrum";"Alkmaar                                 ";"Wijk      ";"WK036108  ";"1";"         .";
"Binnenstad-West";"Alkmaar                                 ";"Buurt     ";"BU03610800";"1";"      1811";1
"Binnenstad-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610801";"1";"      1811";2
"Spoorbuurt";"Alkmaar                                 ";"Buurt     ";"BU03610802";"1";"      1815";1
"Overstad";"Alkmaar                                 ";"Buurt     ";"BU03610803";"1";"      1823";1
"Schermer";"Alkmaar                                 ";"Wijk      ";"WK036109  ";"1";"         .";
"Oterleek";"Alkmaar                                 ";"Buurt     ";"BU03610900";"1";"      1842";1
"Ursem gem. S";"Alkmaar                                 ";"Buurt     ";"BU03610901";"1";"      1646";1
"Stompetoren";"Alkmaar                                 ";"Buurt     ";"BU03610902";"1";"      1841";1
"Schermerhorn";"Alkmaar                                 ";"Buurt     ";"BU03610903";"1";"      1636";1
"Zuidschermer";"Alkmaar                                 ";"Buurt     ";"BU03610904";"1";"      1846";4
"Driehuizen";"Alkmaar                                 ";"Buurt     ";"BU03610905";"1";"      1844";1
"Grootschermer";"Alkmaar                                 ";"Buurt     ";"BU03610906";"1";"      1843";1
"Graft-De Rijp";"Alkmaar                                 ";"Wijk      ";"WK036110  ";"1";"         .";
"Noordeinde";"Alkmaar                                 ";"Buurt     ";"BU03611000";"1";"      1485";1
"West-Graftdijk";"Alkmaar                                 ";"Buurt     ";"BU03611001";"1";"      1486";1
"Graft";"Alkmaar                                 ";"Buurt     ";"BU03611002";"1";"      1484";1
"De Rijp";"Alkmaar                                 ";"Buurt     ";"BU03611003";"1";"      1483";1
"Oost-Graftdijk";"Alkmaar                                 ";"Buurt     ";"BU03611004";"1";"      1487";1
"Starnmeer";"Alkmaar                                 ";"Buurt     ";"BU03611005";"1";"      1488";1
"Markenbinnen";"Alkmaar                                 ";"Buurt     ";"BU03611006";"1";"      1536";1
"Vroonermeer";"Alkmaar                                 ";"Wijk      ";"WK036111  ";"3";"         .";
"Vroonermeer-Zuid";"Alkmaar                                 ";"Buurt     ";"BU03611100";"2";"      1822";1
"Vroonermeer-Noord";"Alkmaar                                 ";"Buurt     ";"BU03611101";"2";"         .";
"Almelo";"Almelo                                  ";"Gemeente  ";"GM0141    ";".";"         .";
"Wijk 10 Binnenstad";"Almelo                                  ";"Wijk      ";"WK014110  ";"1";"         .";
"Binnenstad-Noord";"Almelo                                  ";"Buurt     ";"BU01411000";"1";"      7607";1
"Binnenstad-Zuid";"Almelo                                  ";"Buurt     ";"BU01411001";"1";"      7607";1
"Ulk en omgeving";"Almelo                                  ";"Buurt     ";"BU01411002";"1";"      7607";1
"Java en omgeving";"Almelo                                  ";"Buurt     ";"BU01411003";"1";"      7607";1
"Wijk 11 De Riet";"Almelo                                  ";"Wijk      ";"WK014111  ";"1";"         .";
"Bornsestraat en omgeving Midden";"Almelo                                  ";"Buurt     ";"BU01411100";"1";"      7601";1
"Riet Noord";"Almelo                                  ";"Buurt     ";"BU01411101";"1";"      7601";1
"Arendsboer en omgeving Noord";"Almelo                                  ";"Buurt     ";"BU01411102";"1";"      7601";1
"Nieuwland";"Almelo                                  ";"Buurt     ";"BU01411103";"1";"      7601";1
"Arendsboer en omgeving Zuid";"Almelo                                  ";"Buurt     ";"BU01411104";"1";"      7601";1
"Riet Zuid";"Almelo                                  ";"Buurt     ";"BU01411105";"1";"      7601";1
"Bornsestraat en omgeving Zuid";"Almelo                                  ";"Buurt     ";"BU01411106";"1";"      7601";1
"Verspreide huizen wijk 11";"Almelo                                  ";"Buurt     ";"BU01411109";"1";"      7601";1
"Wijk 12 Noorderkwartier";"Almelo                                  ";"Wijk      ";"WK014112  ";"1";"         .";
"Vriezenveenseweg e.o. Haghoek Oost";"Almelo                                  ";"Buurt     ";"BU01411200";"1";"      7602";1
"Parkweg en omgeving";"Almelo                                  ";"Buurt     ";"BU01411201";"1";"      7602";1
"Vriezenveenseweg e.o. Haghoek West";"Almelo                                  ";"Buurt     ";"BU01411202";"1";"      7602";1
"Verspreide huizen wijk 12";"Almelo                                  ";"Buurt     ";"BU01411209";"1";"      7602";1
"Wijk 13 Sluitersveld";"Almelo                                  ";"Wijk      ";"WK014113  ";"1";"         .";
"Ootmarsumsestraat en omgeving";"Almelo                                  ";"Buurt     ";"BU01411300";"1";"      7603";1
"Markgraven";"Almelo                                  ";"Buurt     ";"BU01411301";"1";"      7603";1
"Rumerslanden";"Almelo                                  ";"Buurt     ";"BU01411302";"1";"      7603";1
"Wester-Sluitersveldlanden";"Almelo                                  ";"Buurt     ";"BU01411303";"1";"      7603";1
"Verspreide huizen wijk 13";"Almelo                                  ";"Buurt     ";"BU01411309";"1";"      7603";3
"Wijk 14 Wierdense Hoek";"Almelo                                  ";"Wijk      ";"WK014114  ";"1";"         .";
"Dijkstraat en omgeving";"Almelo                                  ";"Buurt     ";"BU01411400";"1";"      7604";1
"Rohof en omgeving";"Almelo                                  ";"Buurt     ";"BU01411401";"1";"      7604";1
"Kerkelanden";"Almelo                                  ";"Buurt     ";"BU01411402";"1";"      7604";1
"Aalderinkshoek Noordoost";"Almelo                                  ";"Buurt     ";"BU01411403";"1";"      7604";1
"Aalderinkshoek Zuidoost";"Almelo                                  ";"Buurt     ";"BU01411404";"1";"      7604";1
"Aalderinkshoek Noordwest";"Almelo                                  ";"Buurt     ";"BU01411405";"1";"      7604";1
"Aalderinkshoek Zuidwest";"Almelo                                  ";"Buurt     ";"BU01411406";"1";"      7604";1
"Verspreide huizen wijk 14";"Almelo                                  ";"Buurt     ";"BU01411409";"1";"      7604";1
"Wijk 15 Nieuwstraat-Kwartier";"Almelo                                  ";"Wijk      ";"WK014115  ";"1";"         .";
"Nieuwstraat en omgeving";"Almelo                                  ";"Buurt     ";"BU01411500";"1";"      7605";1
"Wonde en omgeving";"Almelo                                  ";"Buurt     ";"BU01411501";"1";"      7605";1
"Witvoet en omgeving";"Almelo                                  ";"Buurt     ";"BU01411502";"1";"      7605";1
"Achterlanden en omgeving";"Almelo                                  ";"Buurt     ";"BU01411503";"1";"      7605";1
"Wijk 16 Ossenkoppelerhoek";"Almelo                                  ";"Wijk      ";"WK014116  ";"1";"         .";
"Boomplaats";"Almelo                                  ";"Buurt     ";"BU01411600";"1";"      7606";1
"Ossenkoppelerhoek-Oost";"Almelo                                  ";"Buurt     ";"BU01411601";"1";"      7606";1
"Beeklust";"Almelo                                  ";"Buurt     ";"BU01411602";"1";"      7606";1
"Ossenkoppelerhoek-Midden-Noord";"Almelo                                  ";"Buurt     ";"BU01411603";"1";"      7606";1
"Ossenkoppelerhoek-West";"Almelo                                  ";"Buurt     ";"BU01411604";"1";"      7606";1
"Ossenkoppelerhoek-Midden-Zuid";"Almelo                                  ";"Buurt     ";"BU01411605";"1";"      7606";1
"Wijk 17 Hofkamp";"Almelo                                  ";"Wijk      ";"WK014117  ";"1";"         .";
"Hofkamp-West";"Almelo                                  ";"Buurt     ";"BU01411700";"1";"      7607";1
"Hofkamp-Oost";"Almelo                                  ";"Buurt     ";"BU01411701";"1";"      7607";1
"Paradijs";"Almelo                                  ";"Buurt     ";"BU01411702";"1";"      7607";1
"Kollenveld-Bolkshoek";"Almelo                                  ";"Buurt     ";"BU01411703";"1";"      7607";1
"Verspreide huizen Hofkamp";"Almelo                                  ";"Buurt     ";"BU01411709";"1";"      7607";1
"Wijk 18 Schelfhorst";"Almelo                                  ";"Wijk      ";"WK014118  ";"1";"         .";
"Schelfhorst-Zuidwest";"Almelo                                  ";"Buurt     ";"BU01411800";"1";"      7608";1
"Drakensteyn en omgeving";"Almelo                                  ";"Buurt     ";"BU01411801";"1";"      7608";1
"Schelfhorst-Noordwest";"Almelo                                  ";"Buurt     ";"BU01411802";"1";"      7608";1
"Havezathe";"Almelo                                  ";"Buurt     ";"BU01411803";"1";"      7608";1
"Schelfhorst-Noordoost";"Almelo                                  ";"Buurt     ";"BU01411804";"1";"      7608";1
"Schelfhorst-Zuidoost";"Almelo                                  ";"Buurt     ";"BU01411805";"1";"      7608";1
"Veenelanden";"Almelo                                  ";"Buurt     ";"BU01411806";"1";"      7608";1
"Wijk 19 Windmolenbroek";"Almelo                                  ";"Wijk      ";"WK014119  ";"1";"         .";
"Groeneveld";"Almelo                                  ";"Buurt     ";"BU01411900";"1";"      7609";2
"Kanaalzijde";"Almelo                                  ";"Buurt     ";"BU01411901";"1";"      7609";1
"Leemslagen-Noord";"Almelo                                  ";"Buurt     ";"BU01411902";"1";"      7609";1
"Leemslagen-Zuid";"Almelo                                  ";"Buurt     ";"BU01411903";"1";"      7609";1
"Zeven Bosjes";"Almelo                                  ";"Buurt     ";"BU01411904";"1";"      7609";1
"Leemslagen-Oost";"Almelo                                  ";"Buurt     ";"BU01411905";"1";"      7609";1
"Huttenveld";"Almelo                                  ";"Buurt     ";"BU01411906";"1";"      7609";1
"Maardijk";"Almelo                                  ";"Buurt     ";"BU01411907";"1";"      7609";1
"De Grens";"Almelo                                  ";"Buurt     ";"BU01411908";"1";"      7609";1
"Nijrees";"Almelo                                  ";"Buurt     ";"BU01411909";"1";"      7609";1
"Verspreide huizen wijk 19";"Almelo                                  ";"Buurt     ";"BU01411910";"1";"      7609";1
"Wijk 20 Aadorp";"Almelo                                  ";"Wijk      ";"WK014120  ";"1";"         .";
"Aadorp-West";"Almelo                                  ";"Buurt     ";"BU01412000";"1";"      7611";1
"Aadorp-Oost";"Almelo                                  ";"Buurt     ";"BU01412001";"1";"      7611";1
"Bedrijvenpark Twente";"Almelo                                  ";"Buurt     ";"BU01412002";"1";"      7602";1
"Verspreide huizen wijk 20";"Almelo                                  ";"Buurt     ";"BU01412009";"1";"      7610";1
"Wijk 21 Bornerbroek";"Almelo                                  ";"Wijk      ";"WK014121  ";"1";"         .";
"Bornerbroek";"Almelo                                  ";"Buurt     ";"BU01412100";"1";"      7627";1
"Verspreide huizen wijk 21";"Almelo                                  ";"Buurt     ";"BU01412109";"1";"      7627";1
"Almere";"Almere                                  ";"Gemeente  ";"GM0034    ";".";"         .";
"Wijk 01 Almere Haven";"Almere                                  ";"Wijk      ";"WK003401  ";"1";"         .";
"Centrum Almere Haven";"Almere                                  ";"Buurt     ";"BU00340101";"1";"      1353";6
"De Werven";"Almere                                  ";"Buurt     ";"BU00340102";"1";"      1357";6
"De Hoven";"Almere                                  ";"Buurt     ";"BU00340103";"1";"      1354";5
"De Meenten";"Almere                                  ";"Buurt     ";"BU00340104";"1";"      1357";3
"De Grienden";"Almere                                  ";"Buurt     ";"BU00340105";"1";"      1356";1
"De Marken";"Almere                                  ";"Buurt     ";"BU00340106";"1";"      1355";2
"De Gouwen";"Almere                                  ";"Buurt     ";"BU00340107";"1";"      1351";5
"De Wierden";"Almere                                  ";"Buurt     ";"BU00340108";"1";"      1353";1
"De Velden";"Almere                                  ";"Buurt     ";"BU00340109";"1";"      1359";1
"Overgooi";"Almere                                  ";"Buurt     ";"BU00340110";"1";"      1358";1
"De Steiger";"Almere                                  ";"Buurt     ";"BU00340171";"1";"      1351";1
"Stichtsekant";"Almere                                  ";"Buurt     ";"BU00340173";"1";"      1358";1
